pipeline_name,destination_table
Atlas_Bronze_CDS_CII_Billing_Manual,RPM_Performance_CDS_Class_II_ManualBilling
Atlas_Bronze_ZRBINQ_Billing_Plans,BW_ZRBINQ_BillingPlans
Atlas_Bronze_Alliant_Royalties_Alliant_Queries_Finance_12_2025,RPM_Exp_RoyaltiesAlliant
Atlas_Bronze_Alliant_Royalties_Alliant_Queries_Finance_GL_113015_12_2025,RPM_Exp_RoyaltiesAlliant
Atlas_Bronze_Depreciation_Schedule,RPM_Exp_Depreciation
Atlas_Bronze_Daily_Fee_Poker_Install_Base,BW_COPA_DailyFeePoker_Units
Atlas_Bronze_Machine_Sales_Revenue_Plugs,BPC_Plug_Financials
Atlas_Bronze_Machine_Sales_Cost_Plugs,BPC_Plug_Financials_MachineCosts
Atlas_Bronze_Flat_Fee_Billing,RPM_Peformance_FF_MJP
Atlas_Bronze_Flat_Fee_Billing,RPM_Peformance_FF_MJP_PriorMonth
Atlas_Bronze_Lottery_Billing,RPM_Peformance_PremLotto_DE
Atlas_Bronze_Lottery_Billing,RPM_Peformance_PremLotto_NY
Atlas_Bronze_Lottery_Billing,RPM_Peformance_PremLotto_RI
Atlas_Bronze_Lottery_Billing,RPM_Peformance_NonPremLotto_RI
Atlas_Bronze_Africa_Billing,RPM_Intl_Performance_EMEA_Africa
Atlas_Bronze_EMEA_Fixed_Fee_Billing,RPM_Intl_Performance_EMEA_FixedFee
Atlas_Bronze_Greece_WLA_Billing,RPM_Intl_Performance_EMEA_GreeceWLA
Atlas_Bronze_Iceland_Billing,RPM_Intl_Performance_EMEA_Iceland
Atlas_Bronze_LAC_Billing,RPM_Intl_Performance_LAC
Atlas_Bronze_Participation_Billing_Regular,RPM_Performance_PartPriorMonth
Atlas_Bronze_Participation_Billing_Accruals,RPM_Performance_PartAccrualMonth
Atlas_Bronze_CDS_CII_Billing_Regular,RPM_Performance_CDS_Class_II
Atlas_Bronze_WAP_Canada_Discounts,RPM_Performance_WAP_NewCanada
Atlas_Bronze_WAP_Billing,RPM_Performance_WAP
Atlas_Bronze_ZRBINQ_Billing_Plans_CoCode_1000,BW_ZRBINQ_BillingPlans
Atlas_Bronze_ZRBINQ_Billing_Plans_CoCode_1460,BW_ZRBINQ_BillingPlans
Atlas_Bronze_ZRBINQ_Billing_Plans_GSMA,BW_ZRBINQ_BillingPlans
Atlas_Bronze_ZRBINQ_Billing_Plans_Hybrid_1000,BW_ZRBINQ_BillingPlans
Atlas_Bronze_ZRBINQ_Billing_Plans_Hybrid_1460,BW_ZRBINQ_BillingPlans
